log2_accesses,addr_bits,name,cost,k
0,4,bitsplit,4.0,
0,4,sort,51.0,
0,4,subbitsplit,18.0,2
0,4,gcd_uniq,6.0,
3,4,bitsplit,32.0,
3,4,sort,72.0,
3,4,subbitsplit,56.0,3
3,4,gcd_uniq,48.0,
6,4,bitsplit,256.0,
6,4,sort,240.0,
6,4,subbitsplit,240.0,4
6,4,gcd_uniq,384.0,
9,4,bitsplit,2048.0,
9,4,sort,1584.0,
9,4,subbitsplit,1584.0,4
9,4,gcd_uniq,3072.0,
12,4,bitsplit,16384.0,
12,4,sort,12336.0,
12,4,subbitsplit,12336.0,4
12,4,gcd_uniq,24576.0,
15,4,bitsplit,131072.0,
15,4,sort,98352.0,
15,4,subbitsplit,98352.0,4
15,4,gcd_uniq,196608.0,
18,4,bitsplit,1048576.0,
18,4,sort,786480.0,
18,4,subbitsplit,786480.0,4
18,4,gcd_uniq,1572864.0,
0,5,bitsplit,5.0,
0,5,sort,99.0,
0,5,subbitsplit,19.0,2
0,5,gcd_uniq,6.0,
3,5,bitsplit,40.0,
3,5,sort,120.0,
3,5,subbitsplit,64.0,3
3,5,gcd_uniq,48.0,
6,5,bitsplit,320.0,
6,5,sort,288.0,
6,5,subbitsplit,288.0,5
6,5,gcd_uniq,384.0,
9,5,bitsplit,2560.0,
9,5,sort,1632.0,
9,5,subbitsplit,1632.0,5
9,5,gcd_uniq,3072.0,
12,5,bitsplit,20480.0,
12,5,sort,12384.0,
12,5,subbitsplit,12384.0,5
12,5,gcd_uniq,24576.0,
15,5,bitsplit,163840.0,
15,5,sort,98400.0,
15,5,subbitsplit,98400.0,5
15,5,gcd_uniq,196608.0,
18,5,bitsplit,1310720.0,
18,5,sort,786528.0,
18,5,subbitsplit,786528.0,5
18,5,gcd_uniq,1572864.0,
0,6,bitsplit,6.0,
0,6,sort,195.0,
0,6,subbitsplit,21.0,2
0,6,gcd_uniq,6.0,
3,6,bitsplit,48.0,
3,6,sort,216.0,
